leftId	rightId	blockNum	leftCluster	rightCluster
Cume11g1281	Bhhi3g1253	7		
Cume11g1306	Bhhi3g1254	7		
Cume11g1314	Bhhi3g1255	7		
Cume11g1326	Bhhi3g1260	7		
Cume11g1355	Bhhi3g1276	7		
Cume11g2172	Bhhi3g0722	8		
Cume11g2209	Bhhi3g0745	8		
Cume11g2256	Bhhi3g0781	8		Right_Bhhi3_cluster_3
Cume11g2276	Bhhi3g0824	8		
Cume11g2308	Bhhi3g0834	8		
Cume11g2314	Bhhi3g0844	8		
Cume11g1281	Bhhi3g1253	9		
Cume11g1244	Bhhi3g1298	9		
Cume11g1222	Bhhi3g1318	9		
Cume11g1183	Bhhi3g1344	9		
Cume11g1142	Bhhi3g1375	9		
Cume11g1097	Bhhi3g1381	9		
Cume11g0387	Bhhi3g0617	10		
Cume11g0354	Bhhi3g0628	10		
Cume11g0347	Bhhi3g0665	10		
Cume11g0322	Bhhi3g0678	10		
Cume11g0299	Bhhi3g0718	10		
Cume11g0273	Bhhi3g0722	10		
Cume11g0857	Bhhi3g0220	11		
Cume11g0861	Bhhi3g0226	11		
Cume11g0865	Bhhi3g0230	11		
Cume11g0869	Bhhi3g0231	11		
Cume11g0879	Bhhi3g0233	11		
Cume11g0880	Bhhi3g0239	11		
Cume11g0295	Bhhi3g0859	12		
Cume11g0318	Bhhi3g0898	12		
Cume11g0350	Bhhi3g0947	12		
Cume11g0360	Bhhi3g0959	12		
Cume11g0388	Bhhi3g1002	12		
Cume11g0424	Bhhi3g1035	12		
Cume11g2288	Bhhi3g0509	13		
Cume11g2272	Bhhi3g0526	13		
Cume11g2264	Bhhi3g0541	13		
Cume11g2233	Bhhi3g0576	13		
Cume11g2184	Bhhi3g0578	13		
Cume11g1424	Bhhi3g0257	14		
Cume11g1389	Bhhi3g0293	14		
Cume11g1372	Bhhi3g0315	14		
Cume11g1366	Bhhi3g0320	14		
Cume11g1318	Bhhi3g0333	14		
Cume11g1312	Bhhi3g0981	15		
Cume11g1270	Bhhi3g1006	15		
Cume11g1268	Bhhi3g1008	15		
Cume11g1259	Bhhi3g1016	15		
Cume11g1213	Bhhi3g1024	15		
Cume11g0082	Bhhi3g0873	17		
Cume11g0081	Bhhi3g0876	17		
Cume11g0032	Bhhi3g0907	17		
Cume11g0006	Bhhi3g0944	17		
Cume11g0001	Bhhi3g0944	17		
Cume11g1546	Bhhi3g0009	18		
Cume11g1551	Bhhi3g0010	18		
Cume11g1572	Bhhi3g0027	18		
Cume11g1573	Bhhi3g0033	18		
Cume11g1575	Bhhi3g0036	18		
Cume11g0698	Bhhi3g0583	19		
Cume11g0704	Bhhi3g0592	19		
Cume11g0709	Bhhi3g0594	19		
Cume11g0735	Bhhi3g0596	19	Left_Cume11_cluster_2	Right_Bhhi3_cluster_2
Cume11g0738	Bhhi3g0597	19	Left_Cume11_cluster_2	Right_Bhhi3_cluster_2
Cume11g1898	Bhhi3g0428	23		
Cume11g1945	Bhhi3g0443	23		
Cume11g1957	Bhhi3g0488	23		
Cume11g1964	Bhhi3g0498	23		
Cume11g1444	Bhhi3g0177	25		
Cume11g1475	Bhhi3g0195	25		
Cume11g1515	Bhhi3g0245	25		
Cume11g1546	Bhhi3g0257	25		
Cume11g1417	Bhhi3g1373	26		
Cume11g1443	Bhhi3g1409	26		
Cume11g1444	Bhhi3g1412	26		
Cume11g1446	Bhhi3g1417	26		
Cume11g1307	Bhhi3g1593	27		
Cume11g1332	Bhhi3g1607	27		
Cume11g1342	Bhhi3g1654	27		
Cume11g1376	Bhhi3g1669	27		
Cume11g0990	Bhhi3g0408	28		
Cume11g1018	Bhhi3g0428	28		
Cume11g1036	Bhhi3g0450	28		
Cume11g1054	Bhhi3g0463	28		
Cume11g0199	Bhhi3g0889	29		
Cume11g0201	Bhhi3g0890	29		
Cume11g0203	Bhhi3g0896	29		
Cume11g0208	Bhhi3g0908	29		
Cume9g0153	Bhhi7g0839	1		
Cume9g0161	Bhhi7g0844	1		
Cume9g0162	Bhhi7g0863	1		
Cume9g0185	Bhhi7g0869	1		
Cume9g0190	Bhhi7g0876	1		
Cume9g0236	Bhhi7g0922	1		
Cume9g0246	Bhhi7g0929	1		
Cume9g0247	Bhhi7g0931	1		
Cume9g0253	Bhhi7g0938	1		
Cume9g0257	Bhhi7g0942	1		
Cume9g0271	Bhhi7g0949	1		
Cume9g0278	Bhhi7g0959	1		
Cume9g0281	Bhhi7g0960	1		
Cume9g0285	Bhhi7g0972	1		
Cume9g0286	Bhhi7g0973	1		
Cume9g0288	Bhhi7g0974	1		
Cume9g0290	Bhhi7g0984	1		
Cume9g0306	Bhhi7g1009	1		
Cume9g0341	Bhhi7g1041	1		
Cume9g0368	Bhhi7g1058	1		
Cume9g0395	Bhhi7g1066	1		
Cume9g0425	Bhhi7g1100	1		
Cume9g0434	Bhhi7g1107	1		
